head,head_type,relation,tail,tail_type,confidence,sentence
coastal,Ecosystem,occurs_in,Indonesia,Geo_Location,0.875,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
coastal,Ecosystem,occurs_in,Viet Nam,Geo_Location,0.927,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
"coastal zone,",Geo_Location,occurs_in,Africa,Geo_Location,0.651,"However, Africa is expected to experience the highest rates of population growth and urbanisation in the coastal zone, particularly in Egypt and sub-Saharan countries in Western and Eastern Africa."
"coastal zone,",Geo_Location,occurs_in,Egypt,Geo_Location,0.632,"However, Africa is expected to experience the highest rates of population growth and urbanisation in the coastal zone, particularly in Egypt and sub-Saharan countries in Western and Eastern Africa."
"coastal zone,",Geo_Location,occurs_in,Western,Geo_Location,0.613,"However, Africa is expected to experience the highest rates of population growth and urbanisation in the coastal zone, particularly in Egypt and sub-Saharan countries in Western and Eastern Africa."
Africa.,Geo_Location,occurs_in,Western,Geo_Location,0.659,"However, Africa is expected to experience the highest rates of population growth and urbanisation in the coastal zone, particularly in Egypt and sub-Saharan countries in Western and Eastern Africa."
coastal flooding,Env_Event,affects,coastal,Ecosystem,0.784,The results highlight countries and regions with a high degree of exposure to coastal flooding and help identifying regions where policies and adaptive planning for building resilient coastal communities are not only desirable but essential.
"coastal water levels,",Ecosystem,occurs_in,global,Geo_Location,0.696,"This quantity is comparable to the positive vertical bias of the principle digital elevation model (DEM) used to assess global and national population exposures to extreme coastal water levels, NASAs SRTM."
digital elevation model,Policy,mitigates,warming.,Climate_Driver,0.86,"Here the authors employ a new digital elevation model (DEM) utilizing neural networks and show that the new DEM more than triples the NASA SRTM-based estimates of current global population occupying land below projected sea levels in 2100, with more than 200 million people could be affected based on RCP4.5 and 2 degC of warming."
sea levels,Climate_Variable,increases,warming.,Climate_Driver,0.974,"Here the authors employ a new digital elevation model (DEM) utilizing neural networks and show that the new DEM more than triples the NASA SRTM-based estimates of current global population occupying land below projected sea levels in 2100, with more than 200 million people could be affected based on RCP4.5 and 2 degC of warming."
warming.,Climate_Driver,increases,sea levels,Climate_Variable,0.987,"Here the authors employ a new digital elevation model (DEM) utilizing neural networks and show that the new DEM more than triples the NASA SRTM-based estimates of current global population occupying land below projected sea levels in 2100, with more than 200 million people could be affected based on RCP4.5 and 2 degC of warming."
Global,Climate_Driver,contributes_to,climate change,Climate_Driver,0.903,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
Global,Climate_Driver,contributes_to,"sea-level rise,",Climate_Driver,0.948,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
Global,Climate_Driver,causes,coastal flooding.,Env_Event,0.976,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
climate change,Climate_Driver,contributes_to,Global,Climate_Driver,0.978,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
climate change,Climate_Driver,contributes_to,"sea-level rise,",Climate_Driver,0.925,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
climate change,Climate_Driver,causes,coastal flooding.,Env_Event,0.986,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
"sea-level rise,",Climate_Driver,contributes_to,Global,Climate_Driver,0.945,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
"sea-level rise,",Climate_Driver,contributes_to,climate change,Climate_Driver,0.981,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
"sea-level rise,",Climate_Driver,causes,coastal flooding.,Env_Event,0.987,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
coastal flooding.,Env_Event,occurs_in,Global,Climate_Driver,0.899,"Global climate change drives sea-level rise, increasing the frequency of coastal flooding."
sea-level rise,Climate_Driver,contributes_to,ocean-level fluctuations,Climate_Driver,0.781,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
sea-level rise,Climate_Driver,contributes_to,"tides,",Climate_Driver,0.9,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
sea-level rise,Climate_Driver,contributes_to,"waves,",Climate_Driver,0.928,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
sea-level rise,Climate_Driver,causes,storm surge.,Climate_Driver,0.962,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
ocean-level fluctuations,Climate_Driver,occurs_in,"coastal regions,",Ecosystem,0.869,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
ocean-level fluctuations,Climate_Driver,increases,sea-level rise,Climate_Driver,0.813,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
ocean-level fluctuations,Climate_Driver,contributes_to,"tides,",Climate_Driver,0.887,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
ocean-level fluctuations,Climate_Driver,contributes_to,"waves,",Climate_Driver,0.92,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
ocean-level fluctuations,Climate_Driver,causes,storm surge.,Climate_Driver,0.911,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"tides,",Climate_Driver,occurs_in,"coastal regions,",Ecosystem,0.502,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"tides,",Climate_Driver,increases,sea-level rise,Climate_Driver,0.865,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"tides,",Climate_Driver,contributes_to,ocean-level fluctuations,Climate_Driver,0.957,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"tides,",Climate_Driver,contributes_to,"waves,",Climate_Driver,0.977,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"tides,",Climate_Driver,causes,storm surge.,Climate_Driver,0.909,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"waves,",Climate_Driver,occurs_in,"coastal regions,",Ecosystem,0.61,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"waves,",Climate_Driver,increases,sea-level rise,Climate_Driver,0.75,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"waves,",Climate_Driver,contributes_to,ocean-level fluctuations,Climate_Driver,0.958,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"waves,",Climate_Driver,contributes_to,"tides,",Climate_Driver,0.961,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
"waves,",Climate_Driver,causes,storm surge.,Climate_Driver,0.906,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
storm surge.,Climate_Driver,occurs_in,"coastal regions,",Ecosystem,0.953,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
storm surge.,Climate_Driver,contributes_to,sea-level rise,Climate_Driver,0.521,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
storm surge.,Climate_Driver,contributes_to,ocean-level fluctuations,Climate_Driver,0.937,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
storm surge.,Climate_Driver,contributes_to,"tides,",Climate_Driver,0.94,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
storm surge.,Climate_Driver,contributes_to,"waves,",Climate_Driver,0.961,"In most coastal regions, the amount of sea-level rise occurring over years to decades is significantly smaller than normal ocean-level fluctuations caused by tides, waves, and storm surge."
sea-level rise,Climate_Driver,causes,coastal flooding.,Env_Event,0.983,"However, even gradual sea-level rise can rapidly increase the frequency and severity of coastal flooding."
global-scale,Geo_Location,mitigates,sea-level rise,Climate_Driver,0.685,"So far, global-scale estimates of increased coastal flooding due to sea-level rise have not considered elevated water levels due to waves, and thus underestimate the potential impact."
coastal flooding,Env_Event,occurs_in,global-scale,Geo_Location,0.96,"So far, global-scale estimates of increased coastal flooding due to sea-level rise have not considered elevated water levels due to waves, and thus underestimate the potential impact."
sea-level rise,Climate_Driver,causes,coastal flooding,Env_Event,0.987,"So far, global-scale estimates of increased coastal flooding due to sea-level rise have not considered elevated water levels due to waves, and thus underestimate the potential impact."
sea-level,Climate_Variable,increases,"wave,",Climate_Driver,0.73,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
sea-level,Climate_Variable,increases,"tide,",Climate_Driver,0.894,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
sea-level,Climate_Variable,causes,coastal flooding,Env_Event,0.987,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"wave,",Climate_Driver,increases,sea-level,Climate_Variable,0.962,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"wave,",Climate_Driver,contributes_to,"tide,",Climate_Driver,0.686,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"wave,",Climate_Driver,contributes_to,storm surge,Env_Event,0.94,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"wave,",Climate_Driver,causes,coastal flooding,Env_Event,0.984,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"tide,",Climate_Driver,increases,sea-level,Climate_Variable,0.895,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"tide,",Climate_Driver,contributes_to,"wave,",Climate_Driver,0.544,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"tide,",Climate_Driver,contributes_to,storm surge,Env_Event,0.92,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
"tide,",Climate_Driver,causes,coastal flooding,Env_Event,0.979,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
storm surge,Env_Event,increases,sea-level,Climate_Variable,0.92,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
storm surge,Env_Event,contributes_to,"wave,",Climate_Driver,0.957,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
storm surge,Env_Event,contributes_to,"tide,",Climate_Driver,0.923,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
storm surge,Env_Event,causes,coastal flooding,Env_Event,0.984,"Here we use extreme value theory to combine sea-level projections with wave, tide, and storm surge models to estimate increases in coastal flooding on a continuous global scale."
water-level,Climate_Variable,increases,flood-level,Climate_Variable,0.96,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
water-level,Climate_Variable,causes,flooding,Env_Event,0.985,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
flood-level,Climate_Variable,increases,water-level,Climate_Variable,0.954,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
flood-level,Climate_Variable,occurs_in,"Tropics,",Geo_Location,0.635,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
flood-level,Climate_Variable,causes,flooding,Env_Event,0.975,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
flooding,Env_Event,occurs_in,"Tropics,",Geo_Location,0.988,"We find that regions with limited water-level variability, i.e., short-tailed flood-level distributions, located mainly in the Tropics, will experience the largest increases in flooding frequency."
sea-level rise,Climate_Variable,increases,water-level,Climate_Variable,0.884,"The 10 to 20 cm of sea-level rise expected no later than 2050 will more than double the frequency of extreme water-level events in the Tropics, impairing the developing economies of equatorial coastal cities and the habitability of low-lying Pacific island nations."
water-level,Climate_Variable,increases,sea-level rise,Climate_Variable,0.936,"The 10 to 20 cm of sea-level rise expected no later than 2050 will more than double the frequency of extreme water-level events in the Tropics, impairing the developing economies of equatorial coastal cities and the habitability of low-lying Pacific island nations."
"Tropics,",Geo_Location,occurs_in,Pacific island,Ecosystem,0.823,"The 10 to 20 cm of sea-level rise expected no later than 2050 will more than double the frequency of extreme water-level events in the Tropics, impairing the developing economies of equatorial coastal cities and the habitability of low-lying Pacific island nations."
equatorial coastal cities,Geo_Location,occurs_in,"Tropics,",Geo_Location,0.594,"The 10 to 20 cm of sea-level rise expected no later than 2050 will more than double the frequency of extreme water-level events in the Tropics, impairing the developing economies of equatorial coastal cities and the habitability of low-lying Pacific island nations."
Pacific island,Ecosystem,occurs_in,"Tropics,",Geo_Location,0.6,"The 10 to 20 cm of sea-level rise expected no later than 2050 will more than double the frequency of extreme water-level events in the Tropics, impairing the developing economies of equatorial coastal cities and the habitability of low-lying Pacific island nations."
wind and pressure fields,Climate_Driver,increases,temperature),Climate_Variable,0.978,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
wind and pressure fields,Climate_Driver,increases,"water levels,",Climate_Variable,0.957,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
wind and pressure fields,Climate_Driver,contributes_to,"waves,",Climate_Driver,0.956,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
wind and pressure fields,Climate_Driver,causes,compound flooding,Env_Event,0.986,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
temperature),Climate_Variable,increases,"water levels,",Climate_Variable,0.969,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
temperature),Climate_Variable,contributes_to,"waves,",Climate_Driver,0.901,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
temperature),Climate_Variable,causes,compound flooding,Env_Event,0.986,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"water levels,",Climate_Variable,contributes_to,wind and pressure fields,Climate_Driver,0.607,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"water levels,",Climate_Variable,increases,temperature),Climate_Variable,0.984,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"water levels,",Climate_Variable,contributes_to,"waves,",Climate_Driver,0.901,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"water levels,",Climate_Variable,causes,compound flooding,Env_Event,0.987,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"waves,",Climate_Driver,contributes_to,wind and pressure fields,Climate_Driver,0.914,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"waves,",Climate_Driver,increases,temperature),Climate_Variable,0.98,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"waves,",Climate_Driver,increases,"water levels,",Climate_Variable,0.957,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
"waves,",Climate_Driver,causes,compound flooding,Env_Event,0.986,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
compound flooding,Env_Event,occurs_in,coastal,Policy,0.586,"The Puget Sound Coastal Storm Modeling System (PS-CoSMoS) is a tool designed to dynamically downscale future climate scenarios (i.e., projected changes in wind and pressure fields and temperature) to compute regional water levels, waves, and compound flooding over large geographic areas (100 s of kilometers) at high spatial resolutions (1 m) pertinent to coastal hazard assessments and planning."
coastal compound flooding,Env_Event,affects,estuary,Ecosystem,0.892,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
coastal compound flooding,Env_Event,occurs_in,Puget Sound,Geo_Location,0.978,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
coastal compound flooding,Env_Event,occurs_in,Washington State,Geo_Location,0.975,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
coastal compound flooding,Env_Event,occurs_in,Salish Sea.,Geo_Location,0.98,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
estuary,Ecosystem,occurs_in,Puget Sound,Geo_Location,0.953,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
estuary,Ecosystem,occurs_in,Washington State,Geo_Location,0.927,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
estuary,Ecosystem,occurs_in,Salish Sea.,Geo_Location,0.932,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
Salish Sea.,Geo_Location,occurs_in,Puget Sound,Geo_Location,0.596,"This research focuses on advancing robust and computationally efficient approaches to resolving the coastal compound flooding components for complex, estuary environments and their application to the Puget Sound region of Washington State (USA) and the greater Salish Sea."
storm,Env_Event,causes,flood,Env_Event,0.857,"The modeling system provides coastal planners with projections of storm hazards and flood exposure for recurring flood events, spanning the annual to 1-percent annual chance of flooding, necessary to manage public safety and the prioritization and cost-efficient protection of critical infrastructure and valued ecosystems."
storm,Env_Event,causes,flood,Env_Event,0.844,"The modeling system provides coastal planners with projections of storm hazards and flood exposure for recurring flood events, spanning the annual to 1-percent annual chance of flooding, necessary to manage public safety and the prioritization and cost-efficient protection of critical infrastructure and valued ecosystems."
storm,Env_Event,causes,"flooding,",Env_Event,0.915,"The modeling system provides coastal planners with projections of storm hazards and flood exposure for recurring flood events, spanning the annual to 1-percent annual chance of flooding, necessary to manage public safety and the prioritization and cost-efficient protection of critical infrastructure and valued ecosystems."
"sea-level rise,",Climate_Driver,causes,flood,Env_Event,0.978,"With 1 m of sea-level rise, annual flood extents are projected to increase from 13 to 33 km2 (5 and 13% of low-lying Whatcom County) and flood risk (defined in USD) is projected to increase fifteenfold (from 14 to USD 206 million)."
sea-level rise,Climate_Driver,contributes_to,storms.,Climate_Driver,0.603,"PS-CoSMoS, like its prior iteration in California (CoSMoS), provides valuable coastal hazard projections to help communities plan for the impacts of sea-level rise and storms."
