sentence_id,sentence,source_title,year,venue,citation_count,fields,climate_score,entities,relations,annotated
s0231_02080,"While under threat from local factors, coral reefs are increasingly susceptible to ocean warming from anthropogenic climate change.",Commentary: Reconstructing Four Centuries of Temperature-Induced Coral Bleaching on the Great Barrier Reef,2019.0,Frontiers in Marine Science,5,"Environmental Science, Environmental Science",4,,,False
s0392_03606,Studies projecting species extinction in tropical regions consider either habitat loss or climate change as drivers of biodiversity loss but rarely evaluate them together.,Extinction risk of narrowly distributed species of seed plants in Brazil due to habitat loss and climate change,2019.0,PeerJ,46,"Geography, Medicine, Environmental Science",4,,,False
s0554_05043,A better understanding of the global carbon cycle is required for improved projections of climate change including corresponding changes in water and food resources and for the verification of measures to reduce anthropogenic greenhouse gas emissions.,Reviews and syntheses: Systematic Earth observations for use in terrestrial carbon cycle data assimilation systems,2017.0,,72,"Environmental Science, Environmental Science, Geology",4,,,False
s0070_00609,"Marine-terminating glaciers in the Canadian Arctic Archipelago have retreated in response to atmospheric, not oceanic, warming.",Atmospheric forcing of rapid marine-terminating glacier retreat in the Canadian Arctic Archipelago,2019.0,Science Advances,65,"Geology, Medicine, Environmental Science, Geology",4,,,False
s0070_00610,"The Canadian Arctic Archipelago contains >300 glaciers that terminate in the ocean, but little is known about changes in their frontal positions in response to recent changes in the ocean-climate system.",Atmospheric forcing of rapid marine-terminating glacier retreat in the Canadian Arctic Archipelago,2019.0,Science Advances,65,"Geology, Medicine, Environmental Science, Geology",4,,,False
s0022_00192,"The purpose of this study is to construct a novel integrated atmosphere-ocean-coast and overtopping-drainage modeling framework based on the coupled tide, surge and wave model, SWAN+ADCIRC, to assess risk and facilitate coastal adaptation and resilience to flooding in a changing climate in this region.",Coastal flooding from wave overtopping and sea level rise adaptation in the northeastern USA,2019.0,Coastal Engineering,84,"Geology, Environmental Science, Geography",4,,,False
s0202_01815,"Episodic anomalously warm sea surface temperature (SST) extremes, or marine heatwaves (MHWs), amplify ocean warming effects and may lead to severe impacts on marine ecosystems.",Opposite polarities of ENSO drive distinct patterns of coral bleaching potentials in the southeast Indian Ocean,2017.0,Scientific Reports,59,"Environmental Science, Medicine, Environmental Science, Geology",4,,,False
s0331_02972,"Nitrous oxide emissions from ice-rich permafrost deposits are reported here, showing that emissions increase after thawing and stabilization and could represent an unappreciated positive climate feedback in the Arctic.",Thawing Yedoma permafrost is a neglected nitrous oxide source,2021.0,Nature Communications,59,"Medicine, Environmental Science, Geology",4,,,False
s0081_00695,Climate-change driven increases in temperature and precipitation are leading to increased discharge of freshwater and terrestrial material to Arctic coastal ecosystems.,"Terrestrial Inputs Drive Seasonality in Organic Matter and Nutrient Biogeochemistry in a High Arctic Fjord System (Isfjorden, Svalbard)",2020.0,Frontiers in Marine Science,63,"Environmental Science, Environmental Science",4,,,False
s0565_05142,"Should this happen, a larger portion of the annual carbon dioxide emissions will remain in the atmosphere, and further increase global warming, which in turn may further weaken the land sink.",GCM characteristics explain the majority of uncertainty in projected 21st century terrestrial ecosystem carbon balance,2013.0,,53,"Environmental Science, Environmental Science",4,,,False
s0328_02944,Permafrost covers a quarter of the northern hemisphere land surface and contains twice the amount of carbon that is currently present in the atmosphere.,Roles of Thermokarst Lakes in a Warming World.,2020.0,Trends in Microbiology,99,"Medicine, Biology, Environmental Science, Geology",3,,,False
s0431_03974,"We test a metabolismcentered redox framework, which views microbial processes as coupled oxidativereductive reactions, to mechanistically explain how organic matter metabolite quality controls greenhouse gas production in permafrostaffected peatland ecosystems.",Metabolic Redox Coupling Controls Methane Production in Permafrost‐Affected Peatlands Through Organic Matter Quality‐Dependent Energy Allocation,2025.0,Global Change Biology,3,"Medicine, Environmental Science, Biology",3,,,False
s0384_03533,Biomass energy with carbon capture and storage (BECCS) is used as a means of carbon dioxide removal (CDR) from the atmosphere (and offsetting fossil fuel emissions).,Scenarios for future biodiversity loss due to multiple drivers reveal conflict between mitigating climate change and preserving biodiversity,2013.0,,30,"Physics, Environmental Science, Environmental Science",3,,,False
s0565_05141,Studies have shown that it is likely that the extant land sink of carbon will weaken in a warming climate.,GCM characteristics explain the majority of uncertainty in projected 21st century terrestrial ecosystem carbon balance,2013.0,,53,"Environmental Science, Environmental Science",3,,,False
s0358_03270,"Here, we assess the consequences of plant biodiversity loss for carbon storage under multiple climate and land-use change scenarios.",Biodiversity loss reduces global terrestrial carbon storage,2024.0,Nature Communications,99,"Medicine, Environmental Science, Biology",3,,,False
s0239_02157,We present a robust methodology for estimating regional wildfire BA and GHG emissions under future climate change scenarios in the Mediterranean.,Wildfire Burnt Area and Associated Greenhouse Gas Emissions under Future Climate Change Scenarios in the Mediterranean: Developing a Robust Estimation Approach,2024.0,Fire,6,Environmental Science,3,,,False
s0565_05148,Differences among GCMs in the representation of SST variability and ENSO and its effect on precipitation and temperature patterns explain the majority of the uncertainty in the future evolution of global terrestrial ecosystem carbon in our analysis.,GCM characteristics explain the majority of uncertainty in projected 21st century terrestrial ecosystem carbon balance,2013.0,,53,"Environmental Science, Environmental Science",3,,,False
s0311_02799,"As the northern permafrost region experiences as much as a doubling of the rate of warming as the rest of the Earth, the vast amount of C in permafrost soils is vulnerable to thaw, decomposition and release as atmospheric greenhouse gases.",The impacts of recent permafrost thaw on land–atmosphere greenhouse gas exchange,2014.0,,97,"Environmental Science, Physics, Environmental Science",3,,,False
s0159_01390,We estimated biomass loss and carbon emissions from deforestation and forest fragmentation related to edge effects on the basis of the INPE (Brazilian National Space Research Institute) PRODES deforestation data and forest biomass volume data.,Carbon emissions from deforestation and forest fragmentation in the Brazilian Amazon,2011.0,,66,"Physics, Environmental Science, Environmental Science",3,,,False
s0342_03110,Such a change in climate forcing can be due to changes in the concentration of the more persistent greenhouse gases such as CO2.,The global atmospheric water cycle,2010.0,,158,"Physics, Environmental Science, Environmental Science, Physics",3,,,False
s0386_03555,Meanwhile research on reducing emissions from deforestation and forest degradation (REDD+) has focused largely on how to design payments to achieve the greatest additional reduction in greenhouse gases relative to baseline rates.,Parks versus payments: reconciling divergent policy responses to biodiversity loss and climate change from tropical deforestation,2013.0,,22,"Physics, Geography, Environmental Science, Economics, Political Science",3,,,False
s0590_05351,"This assessment of carbon cycle uncertainties may be used as a baseline for the improvement of experimental and modeling activities, as well as a reference for future trajectories in carbon cycling with climate change in the Alaskan Arctic and larger boreal region.",Carbon cycle uncertainty in the Alaskan Arctic,2014.0,,120,"Environmental Science, Environmental Science",3,,,False
s0583_05285,We analysed the responses of 11 ecosystem models to elevated atmospheric [CO2] (eCO2) at two temperate forest ecosystems (Duke and Oak Ridge National Laboratory (ORNL) Free-Air CO2 Enrichment (FACE) experiments) to test alternative representations of carbon (C)nitrogen (N) cycle processes.,Evaluation of 11 terrestrial carbon–nitrogen cycle models against observations from two temperate Free-Air CO2 Enrichment studies,2014.0,New Phytologist,439,"Environmental Science, Medicine, Environmental Science",3,,,False
s0122_01039,"This research evaluates temporal deforestation, above and below ground carbon stock, biomass estimation potential of vegetation indices derived from Sentinel-2 imagery, carbon emission from deforestation and carbon sequestration potential.","ASSESSMENT OF SENTINEL-2-DERIVED VEGETATION INDICES FOR THE ESTIMATION OF ABOVE-GROUND BIOMASS/CARBON STOCK, TEMPORAL DEFORESTATION AND CARBON EMISSIONS ESTIMATION IN THE MOIST TEMPERATE FORESTS OF PAKISTAN",2020.0,,29,"Environmental Science, Environmental Science",3,,,False
s0190_01694,"While the frequency and associated temperature changes of the events main drivers are subject to regional influences, the intensity and duration of extreme warming due to horizontal advection, on average, exceed that of atmosphere heat fluxes, which act as the major cooling mechanism across the majority of study areas.",Drivers of marine heatwaves in coral bleaching regions of the Red Sea,2025.0,Communications Earth & Environment,1,Environmental Science,3,,,False
s0237_02134,"Global climate change, drought, and the threat of wildfires become major challenges in tourism development.","Adaptation and mitigation management of drought, wildfire, and climate change toward the development of natural tourism in Jatirejo District, Mojokerto Regency, Indonesia",2023.0,E3S Web of Conferences,1,"Environmental Science, Business",3,,,False
s0318_02867,Concern also exists over the potential positive feedback that a changing climate may have on rates of greenhouse gas emission from soil.,"Soils and climate change: potential impacts on carbon stocks and greenhouse gas emissions, and future research for Australian agriculture",2012.0,Crop and Pasture Science,103,"Biology, Environmental Science, Agricultural and Food Sciences",3,,,False
s0318_02865,"Organic carbon and nitrogen found in soils are subject to a range of biological processes capable of generating or consuming greenhouse gases (CO2, N2O and CH4).","Soils and climate change: potential impacts on carbon stocks and greenhouse gas emissions, and future research for Australian agriculture",2012.0,Crop and Pasture Science,103,"Biology, Environmental Science, Agricultural and Food Sciences",3,,,False
s0307_02764,"Methane fluxes from wetlands, lakes, and hydrates amplify warming feedback, while nitrogen deposition and fertilizer inputs alter ecosystem nutrient cycling and elevate nitrous oxide ((NO) risk.",Material Cycling and Greenhouse Gas Emission Triggered by Glacial Melt in the Third Pole Region: A Comprehensive Review,2025.0,Environmental Reviews,4,"Environmental Science, Geology",3,,,False
s0405_03745,"The framework (i) applies an artificial intelligence (AI) time-series analysis to identify relationships among environmental change, biodiversity dynamics and ecosystem functions; (ii) validates relationships between loss of biodiversity and environmental change in fabricated ecosystems; and (iii) forecasts the likely future of ecosystem services and their socioeconomic impact under different pollution and climate scenarios.",The Time Machine framework: monitoring and prediction of biodiversity loss.,2021.0,Trends in Ecology & Evolution,18,"Medicine, Environmental Science, Computer Science, Biology",3,,,False
s0146_01272,"In contrast, in the case of deforestation with regrowth, after 1000 years, atmospheric CO2 concentration returns close to preindustrial values, because deforested land will typically recover its carbon over the decades and centuries in the absence of further human intervention.",Contrasting climate and carbon-cycle consequences of fossil-fuel use versus deforestation disturbance,2022.0,Environmental Research Letters,11,"Physics, Environmental Science",3,,,False
s0459_04244,"With the aid of such enlarged resolution, we observed vigorous aerobic methane oxidation by Methylomonas, which could serve as a biofilter to mitigate CH4 emissions from permafrost.",Microorganisms as bio‐filters to mitigate greenhouse gas emissions from high‐altitude permafrost revealed by nanopore‐based metagenomics,2022.0,iMeta,28,"Medicine, Environmental Science, Biology",3,,,False
s0159_01394,Edge-released carbon accounted for 2.64.5% of deforestation-related carbon emissions.,Carbon emissions from deforestation and forest fragmentation in the Brazilian Amazon,2011.0,,66,"Physics, Environmental Science, Environmental Science",3,,,False
s0342_03050,Water vapour is also the dominant greenhouse gas and contributes to a warming of the climate system by some 24°C (Kondratev 1972).,The global atmospheric water cycle,2010.0,,158,"Physics, Environmental Science, Environmental Science, Physics",3,,,False
s0266_02415,"Understanding the tipping point of drought conditions at which the landscape becomes connected, and peatlands are susceptible to wildfire with deeper burning of the organic soil layers is important for understanding the potential future effects of climate change and projected increases in wildfire on peatlands.",Assessing the broadscale effects of wildfire under extreme drought conditions to boreal peatlands,2022.0,Frontiers in Forests and Global Change,7,Environmental Science,3,,,False
s0296_02645,"In light of increasing extreme events driven by climate change, the relationship between drought and wildfire events and their impacts on society is of paramount importance, necessitating comprehensive studies to understand long-term trends.",Exploring EM-DAT for depicting spatiotemporal trends of drought and wildfires and their connections with anthropogenic pressure,2023.0,Natural Hazards,17,"Environmental Science, Geography",3,,,False
s0152_01322,"Taking into account natural regeneration on forestland, Houghton (2003, 2008) and Houghton et al. (2012) estimate that deforestation has caused a net loss of 484 GtCO2 since 1900 which is about one third of all manmade emissions.","The Net Carbon Emissions from
Historic Land Use and Land Use
Change",2019.0,Journal of Forest Economics,42,"Environmental Science, Environmental Science",3,,,False
s0321_02891,The evolution of Earths climate on geological timescales is largely driven by variations in the magnitude of total solar irradiance (TSI) and changes in the greenhouse gas content of the atmosphere.,Future climate forcing potentially without precedent in the last 420 million years,2017.0,Nature Communications,694,"Environmental Science, Medicine, Environmental Science, Geology, Physics",3,,,False
s0202_01816,"MHW-induced coral bleaching events have been observed frequently in recent decades in the southeast Indian Ocean (SEIO), a region traditionally regarded to have resilience to global warming.",Opposite polarities of ENSO drive distinct patterns of coral bleaching potentials in the southeast Indian Ocean,2017.0,Scientific Reports,59,"Environmental Science, Medicine, Environmental Science, Geology",3,,,False
s0428_03951,"Mean May to August and annual methane emissions (6.4 g CH4 m2 and 9.4 g CH4 m2, respectively) of years with warmer spring (i.e. May) temperatures exceeded emissions during the cooler year by 20%30% (4.5 g CH4 m2 and 7.2 g CH4 m2, respectively).",Warmer spring conditions increase annual methane emissions from a boreal peat landscape with sporadic permafrost,2017.0,,25,"Physics, Environmental Science, Environmental Science",3,,,False
s0388_03568,ABSTRACT Introduction: Biodiversity and biodiversity-based ecosystems services are intrinsically dependent on the climate.,Impact of climate change on biodiversity and associated key ecosystem services in Africa: a systematic review,2018.0,Ecosystem Health and Sustainability,277,"Geography, Environmental Science, Biology",3,,,False
s0134_01154,"This study quantifies annual mangrove carbon stocks from 2000 to 2012 at the global, national and sub-national levels, and global carbon emissions resulting from deforestation over the same time period.",Global carbon stocks and potential emissions due to mangrove deforestation from 2000 to 2012,2016.0,Nature Climate Change,319,"Physics, Environmental Science, Environmental Science",3,,,False
s0246_02223,"Using camera traps and jaguar scats collected before, during, and after a large wildfire, we (1) assessed the immediate and shortterm impacts of fire on jaguar demography, abundance, activity, space use, and diet; (2) determined whether changes in mammal species richness and relative abundance occurred; (3) assessed whether these changes were driven by fire, drought, or both; and (4) tested competing hypotheses regarding community structure.",Wildfire and Drought Alter the Ecology of Jaguars and Co‐Occurring Mammals in the World's Largest Wetland,2025.0,Global Change Biology,1,"Medicine, Environmental Science, Biology",3,,,False
s0172_01518,This study combined uncertainty analysis of carbon emissions with local stakeholders' perspectives to develop an effective Reducing Emission from Deforestation and Degradation (REDD+) scheme at the district level.,Implications of uncertainty and scale in carbon emission estimates on locally appropriate designs to reduce emissions from deforestation and degradation (REDD+),2013.0,Mitigation and Adaptation Strategies for Global Change,25,"Environmental Science, Environmental Science, Economics",3,,,False
s0589_05338,"Most ecosystem models used to predict the future terrestrial carbon cycle share a common architecture, whereby carbon that enters the system as net primary production (NPP) is distributed to plant compartments, transferred to litter and soil through vegetation turnover and then re-emitted to the atmosphere in conjunction with soil decomposition.",Importance of vegetation dynamics for future terrestrial carbon cycling,2015.0,,108,"Physics, Environmental Science, Environmental Science",3,,,False
s0117_00994,"Here we show that tropical PAs overall reduced deforestation carbon emissions by 4.88 Pg, or around 29%, between 2000 and 2012, when compared to expected rates of deforestation controlling for spatial variation in deforestation pressure.",Tropical protected areas reduced deforestation carbon emissions by one third from 2000–2012,2017.0,Scientific Reports,66,"Medicine, Environmental Science, Environmental Science",3,,,False
s0419_03875,"At a thawing wetland complex in Interior Alaska, we found that interactions between rain and deep soil temperatures controlled methane emissions.",Warming Effects of Spring Rainfall Increase Methane Emissions From Thawing Permafrost,2019.0,Geophysical Research Letters,92,"Environmental Science, Environmental Science",3,,,False
s0374_03441,"As paleo-archives become more routinely integrated into conservation science, guidelines for the management of nature will benefit from understanding how different spatiotemporal scales of past climate change affected species and ecosystems across the planet.",Using paleo-archives to safeguard biodiversity under climate change,2020.0,Science,156,"Geography, Medicine, Environmental Science",3,,,False
s0574_05224,"Our results suggest that NEP IAV can be mainly attributed to ecosystems with larger productivity and response to precipitation, and highlight the importance of monsoon climate systems with high seasonal and interannual variability in driving internannual variation in the land carbon sink.",Interannual variability of terrestrial net ecosystem productivity over China: regional contributions and climate attribution,2019.0,Environmental Research Letters,80,"Physics, Environmental Science, Environmental Science",3,,,False
s0342_03057,It is to be expected that the changes in the hydrological cycle as a consequence of climate warming may be more severe that the temperature changes.,The global atmospheric water cycle,2010.0,,158,"Physics, Environmental Science, Environmental Science, Physics",3,,,False
s0426_03923,"Arctic permafrost caps vast amounts of old, geologic methane (CH4) in subsurface reservoirs.","Strong geologic methane emissions from discontinuous terrestrial permafrost in the Mackenzie Delta, Canada",2017.0,Scientific Reports,62,"Environmental Science, Medicine, Environmental Science, Geology",3,,,False
s0325_02929,"Focusing our analysis on scenarios described in recent IPCC reports and the Paris Climate Agreement, we use change in the permafrost line latitude to estimate the amount of carbon dioxide released by the melted permafrost.",Adapting the Budyko Model to Analyze Permafrost Recession and Potential for Carbon Feedback,2021.0,,1,"Environmental Science, Environmental Science",3,,,False
s0123_01054,"To address this issue and to strengthen the on-going REDD+ design process we assessed a) land use and land cover (LULC) changes for period of 23 years (19852008); b) estimated CO2 emissions associated to these LULC changes; c) identified the main drivers and agents of deforestation, and d) discussed policy implications for REDD+ implementation in a HFLD area.",REDD+ implementation in a high forest low deforestation area: Constraints on monitoring forest carbon emissions,2018.0,Land Use Policy,19,"Business, Environmental Science, Economics",3,,,False
s0219_01969,"However, it remains poorly understood whether they can acclimatize to ocean warming when superimposed on their already thermally-extreme habitats.",Stress-resistant corals may not acclimatize to ocean warming but maintain heat tolerance under cooler temperatures,2019.0,Nature Communications,89,"Environmental Science, Medicine, Environmental Science, Biology",3,,,False
s0582_05281,": As a major player in the carbon pool of the global terrestrial ecosystem, China contributes considerably to the global carbon cycle in terms of both carbon emission and uptake.",A dataset of carbon density in Chinese terrestrial ecosystems (2010s),2018.0,China Scientific Data,120,Environmental Science,3,,,False
s0350_03190,Here we present the first global assessment of current and potential future impacts on biodiversity of a habitat loss and fragmentationclimate change (HLFCC) interaction.,A global assessment of current and future biodiversity vulnerability to habitat loss–climate change interactions,2016.0,,203,"Geography, Environmental Science, Biology",3,,,False
s0578_05254,Interannual variations in the large-scale net ecosystem exchange (NEE) of CO2 between the terrestrial biosphere and the atmosphere were estimated for 19572017 from sustained measurements of atmospheric CO2 mixing ratios.,History of El Niño impacts on the global carbon cycle 1957–2017: a quantification from atmospheric CO2 data,2018.0,Philosophical Transactions of the Royal Society B: Biological Sciences,65,"Environmental Science, Medicine, Environmental Science, Geology",3,,,False
s0279_02513,A warmer climate and reduced soil moisture could lead to a transition from riparian hardwood species to more drought tolerant conifers and shrubs.,"Potential effects of climate change on riparian areas, wetlands, and groundwater-dependent ecosystems in the Blue Mountains, Oregon, USA",2017.0,,78,"Environmental Science, Environmental Science",3,,,False
s0587_05324,"When the model considered not only climate change but also land-use and atmospheric CO2 changes, the majority of the models showed amplification trends of the SCAs of photosynthesis, respiration, and net ecosystem production (+0.19 % to +0.50 % yr1).",Decadal trends in the seasonal-cycle amplitude of terrestrial CO2 exchange resulting from the ensemble of terrestrial biosphere models,2016.0,,45,"Environmental Science, Environmental Science",3,,,False
s0473_04350,"To address how thaw and moisture interact to affect total C emissions, we measured CH4 and CO2 emissions from paired chambers across thaw and moisture gradients created by nine years of experimental soil warming in interior Alaska.",Experimental Soil Warming and Permafrost Thaw Increase CH4 Emissions in an Upland Tundra Ecosystem,2021.0,Journal of Geophysical Research: Biogeosciences,8,Environmental Science,3,,,False
s0117_00993,"While the effectiveness of PAs in reducing deforestation has been estimated, the impact on global carbon emissions remains unquantified.",Tropical protected areas reduced deforestation carbon emissions by one third from 2000–2012,2017.0,Scientific Reports,66,"Medicine, Environmental Science, Environmental Science",3,,,False
s0337_03004,Restoration reduced the rate of warming and drying under the transient increase in the radiative forcing of greenhouse gas emissions (RCP8.5).,More than carbon sequestration: Biophysical climate benefits of restored savanna woodlands,2016.0,Scientific Reports,49,"Medicine, Environmental Science, Environmental Science",3,,,False
s0175_01546,"Forest regrowth had a substantial impact on net carbon changes, removing 22% of emissions from deforestation.",Carbon emissions from land cover change in Central Vietnam,2016.0,,30,"Environmental Science, Environmental Science",3,,,False
s0587_05320,"Using output data from the Multi-scale Terrestrial Model Intercomparison Project (MsTMIP), we investigated how well the SCA of atmosphereecosystem CO2 exchange was simulated with 15 contemporary terrestrial ecosystem models during the period 19012010.",Decadal trends in the seasonal-cycle amplitude of terrestrial CO2 exchange resulting from the ensemble of terrestrial biosphere models,2016.0,,45,"Environmental Science, Environmental Science",3,,,False
s0115_00977,"Yet, emissions from drought-induced forest fires are, usually, not included in national-level carbon emission inventories.",21st Century drought-related fires counteract the decline of Amazon deforestation carbon emissions,2018.0,Nature Communications,686,"Medicine, Environmental Science, Environmental Science",3,,,False
s0289_02584,"Increasing drought conditions under global warming are expected to alter the frequency and distribution of large, high intensity wildfires.",Extreme Wildfire occurrence in response to Global Change type Droughts in the Northern Mediterranean,2017.0,,8,"Environmental Science, Environmental Science",3,,,False
s0555_05056,"Here we investigate the role of climate model-derived biases by forcing a single global ecosystem-carbon cycle model, with original climate outputs from 15 ESMs and GCMs from the CMIP5 ensemble.",The large influence of climate model bias on terrestrial carbon cycle simulations,2017.0,,45,"Environmental Science, Physics, Environmental Science",3,,,False
s0073_00629,Tidewater outlet glaciers represent direct connections between glaciers and the ocean where melt rates at the ice-ocean interface are influenced by ocean temperature and circulation.,Sea ice breakup and marine melt of a retreating tidewater outlet glacier in northeast Greenland (81°N),2017.0,Scientific Reports,31,"Geology, Medicine, Environmental Science, Geology",3,,,False
s0147_01278,We used the model to forecast anthropogenic deforestation and carbon dioxide emissions in five large study areas in the humid and spiny-dry forests of Madagascar.,Forecasting deforestation and carbon emissions in tropical developing countries facing demographic expansion: a case study in Madagascar,2013.0,Ecology and Evolution,77,"Biology, Medicine, Economics, Environmental Science",3,,,False
s0159_01396,"Edge-related carbon fluxes are of increasing importance for basin-wide carbon accounting, especially as regards ongoing reducing emissions from deforestation and forest degradation (REDD) efforts in Brazilian Amazonia.",Carbon emissions from deforestation and forest fragmentation in the Brazilian Amazon,2011.0,,66,"Physics, Environmental Science, Environmental Science",3,,,False
